Designation,Process,Graduation_Cleaned,Post Graduation_cleaned,Diploma_cleaned,Others_cleaned,Raw Master Category_cleaned,Notice period served,Voluntary / Forced,Gender,Rating,Band,Company,Business,Last Shifts for person,Deparment
Senior Analyst - IT Infra & Operations,IT,B.A.,No details,no details,no details,Relocation,0,V,F,B,A1,R1 RCM -II,Software Development,8:00 AM - 5:00 PM,Software Development
Analyst – Information Security,Information Security,B.E.,No details,no details,no details,No data available,0,F,M,B,A3,R1 RCM -II,IT,12:00 PM - 9:00 PM,IT
Senior Analyst,CSSC Non-Voice,B.Com,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM -II,Information Security,12:00 PM - 9:00 PM,Information Security
Analyst,DSSC Non-Voice,B.Com,No details,no details,no details,Health,0,V,M,B,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CSSC AR,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.E.,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.C.A. ,No details,no details,no details,Personal ,0,V,M,B+,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.Com,No details,no details,no details,Abanonded,0,V,M,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.B.A.,PGP,no details,no details,Health,0,V,F,B,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CSSC AR,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,CSSC Non-Voice,B.B.A.,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CSSC Non-Voice,B.A.,No details,no details,no details,Personal ,0,V,M,C,A1,R1 RCM -II,PFS 1,3:00 PM - 12:00 AM,PFS 1
Senior Analyst,NOI AR,B.A.,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,CSSC AR,B.A.,No details,no details,no details,Better opportunity,0,V,M,B+,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,CSSC Non-Voice,B.Com,No details,no details,no details,Integrity Issue,0,F,F,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.A.,No details,no details,no details,Abanonded,0,V,M,C,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,DSSC Non-Voice,B.Sc,No details,no details,no details,Performance & Discipline,0,F,M,B,A1,R1 RCM -II,PFS 1,3:00 PM - 12:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.Sc,No details,no details,no details,Personal ,0,V,M,C,A2,R1 RCM -II,PFS 1,3:00 PM - 12:00 AM,PFS 1
Senior Analyst,DSSC Non-Voice,B.A.,No details,no details,no details,Abanonded,0,V,F,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CSSC AR,B.Com,No details,no details,no details,Better opportunity,0,V,F,C,A2,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Analyst,NOI AR,B.Com,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.B.A.,No details,no details,no details,Better opportunity,0,V,M,B+,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,BIM ,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.A.,No details,no details,no details,Shift Timings,0,V,F,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.A.,No details,no details,no details,Better opportunity,0,V,F,B+,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.E.,No details,no details,no details,Health,0,V,F,C,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.B.A.,No details,no details,no details,Better opportunity,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.A.,No details,no details,no details,Better opportunity,0,V,M,B,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.A.,No details,no details,no details,Health,0,V,M,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
MT/QA-2,MT,B.Com,No details,no details,no details,Health,0,V,F,B,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst – Information Security,Information Security,B.E.,No details,no details,Intermediate,Integrity Issue,0,F,F,C,A3,R1 RCM -II,MT,9:00 PM - 6:00 AM,MT
Engineer - Application and Engineering,India Enterprise Solution,B.C.A. ,M.C.A.,no details,no details,Relocation,0,V,M,B,A2,R1 RCM -II,Information Security,8:00 AM - 5:00 PM,Information Security
Senior Executive - Front Desk cum EA,Administration,B.Com,No details,no details,no details,Personal ,0,V,M,C,A2,R1 RCM -II,India Enterprise Solution,3:00 PM - 12:00 AM,India Enterprise Solution
Senior Analyst,CSSC AR,B.Com,No details,no details,no details,Personal ,0,V,F,C,A3,R1 RCM -II,Support,9:00 AM - 6:00 PM,Support
Analyst,NOI AR,B.Com,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Analyst,CSSC AR,B.B.A.,No details,no details,no details,Better opportunity,0,V,M,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.A.,No details,no details,no details,Abanonded,0,V,F,Rating not available,A1,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Analyst,CSSC AR,B.E.,No details,no details,no details,Abanonded,0,V,M,A,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CSSC AR,B.Com,No details,no details,no details,Abanonded,0,V,F,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.E.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Analyst,NOI AR,B.E.,No details,no details,no details,Relocation,0,V,M,A,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.Com,No details,no details,no details,Abanonded,0,V,M,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.Com,No details,no details,no details,Abanonded,0,V,M,C,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CSSC AR,B.Com,M.C.A.,no details,no details,Performance & Discipline,0,F,M,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.Sc,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Analyst,CBO Non Voice,B.Com,No details,no details,no details,Abanonded,0,V,F,C,A2,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Analyst,CSSC AR,B.E.,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,CSSC AR,B.Com,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.Com,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.A.,No details,no details,no details,Abanonded,0,V,F,B+,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CSSC Non-Voice,B.A.,No details,no details,no details,Abanonded,0,V,F,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.Com,No details,no details,no details,Abanonded,0,V,F,B,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,CBO Non Voice,B.A.,No details,no details,no details,Personal ,0,V,F,B,A1,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Analyst,DSSC Non-Voice,B.Com,No details,no details,no details,Abanonded,0,V,M,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,DSSC Non-Voice,B.Sc,No details,no details,no details,Personal ,0,V,F,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,DSSC Non-Voice,B.Com,No details,no details,no details,Personal ,0,V,F,B,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.A.,No details,no details,no details,Higher Studies,0,V,M,B,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,PAS,B.C.A. ,No details,no details,no details,Relocation,0,V,F,B,A1,R1 RCM -II,PFS 1,6:00 AM - 3:00 PM,PFS 1
Senior Analyst,PAS,B.A.,No details,no details,no details,Performance & Discipline,0,F,F,C,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,PAS,No details,No details,Diploma In Mechanical Engineering ,no details,Personal ,0,V,M,B,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,PAS,B.C.A. ,No details,no details,no details,Better opportunity,0,V,M,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,PAS,B.Com,No details,no details,no details,Higher Studies,0,V,M,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,Birmingham Non Voice,B.A.,No details,no details,no details,Abanonded,0,V,M,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.E.,No details,no details,no details,Performance & Discipline,0,F,M,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,PAS,B.Com,No details,no details,no details,Performance & Discipline,0,F,F,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.A.,No details,no details,no details,Abanonded,0,V,M,B+,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,PAS,B.E.,No details,no details,no details,Better opportunity,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,PAS,B.Sc,No details,no details,no details,Better opportunity,0,V,M,B,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,CSSC Non-Voice,B.E.,No details,DIPLOMA ,no details,Personal ,0,V,M,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.Sc,No details,no details,no details,Abanonded,0,V,F,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Engineer - Quality Assurance,Software Development,B.Sc,M.E.,no details,no details,Abanonded,0,V,M,B,A1,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Senior Data Analyst,Medical Coding,B.E.,M.C.A.,no details,no details,Abanonded,0,V,M,Rating not available,A3,R1 RCM -II,Software Development,12:00 PM - 9:00 PM,Software Development
Senior Analyst,CSSC AR,B.A.,No details,no details,no details,Better opportunity,0,V,M,Rating not available,A3,R1 RCM -II,Medical Coding,3:00 PM - 12:00 AM,Medical Coding
Analyst,CSSC Non-Voice,B.Sc,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Senior Analyst,DSSC Non-Voice,B.A.,No details,no details,no details,Abanonded,0,V,F,Rating not available,A1,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Senior Analyst,NOI AR,B.E.,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Senior Analyst,NOI AR,B.Com,No details,no details,no details,Better opportunity,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.C.A. ,No details,no details,no details,Personal ,0,V,M,A,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Senior Analyst,DSSC Non-Voice,B.A.,No details,no details,no details,Health,0,V,F,Rating not available,A1,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Senior Analyst,DSSC Non-Voice,B.C.A. ,No details,no details,no details,Performance & Discipline,0,F,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CBO Non Voice,B.A.,No details,no details,no details,Performance & Discipline,0,F,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.E.,No details,no details,no details,Better opportunity,0,V,F,C,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,DSSC Non-Voice,B.A.,No details,no details,no details,Joining Family Business,0,V,M,C,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.C.A. ,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,CSSC Non-Voice,B.E.,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,DSSC Non-Voice,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Analyst,NOI AR,B.B.A.,No details,no details,no details,Relocation,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CBO Non Voice,B.B.A.,No details,no details,no details,Better opportunity,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,DSSC Non-Voice,B.Com,No details,no details,no details,Better opportunity,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,DSSC Non-Voice,B.A.,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Senior Analyst,NOI AR,B.Com,No details,no details,no details,Relocation,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.C.A. ,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CSSC AR,B.Sc,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.Com,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Analyst,NOI AR,B.A.,M.C.A.,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Deputy Manager ,Corporate Compliance,B.Com,No details,no details,c,Abanonded,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,DSSC Non-Voice,B.C.A. ,No details,no details,no details,Better opportunity,0,V,F,Rating not available,Manager,R1 RCM -II,Corporate,12:00 PM - 9:00 PM,Corporate
Analyst,DSSC Non-Voice,B.E.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,DSSC Non-Voice,B.Com,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,CSSC Non-Voice,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Senior Analyst,NOI AR,B.B.A.,No details,no details,no details,Better opportunity,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.J.M.C. ,No details,no details,no details,Personal ,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CSSC AR,B.Sc,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Senior Analyst,DSSC Non-Voice,B.B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,DSSC Non-Voice,B.Com,No details,no details,no details,Better opportunity,0,V,M,B+,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CSSC AR,B.C.A. ,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Analyst,PAS,B.B.A.,M.C.A.,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Engineer-Automation Quality Assurance,Software Development,B.E.,No details,no details,no details,Personal ,0,V,F,Rating not available,A1,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Senior Analyst,NOI AR,B.E.,No details,no details,no details,Higher Studies,0,V,F,B+,A2,R1 RCM -II,Software Development,12:00 PM - 9:00 PM,Software Development
Analyst,NOI AR,B.Sc,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.B.A.,No details,no details,no details,Personal ,0,V,F,B,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.Com,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Assistant Manager 2,DSSC Non-Voice,B.A.,No details,no details,no details,Abanonded,0,V,F,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CSSC AR,B.A.,No details,no details,no details,Personal ,0,V,M,B,P2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,East Orange,B.E.,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Deputy Manager ,DSSC Non-Voice,B.A.,No details,no details,no details,Issues with Manager,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,DSSC Non-Voice,B.A.,M.C.A.,no details,no details,Better opportunity,0,V,M,Rating not available,Manager,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.E.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,No details,No details,no details,B.H.M.,Personal ,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.B.A.,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.E.,No details,no details,no details,Abanonded,0,V,F,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.A.,No details,no details,no details,Health,0,V,F,B,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.Com,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.E.,No details,no details,no details,Transport Issues,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.E.,No details,no details,no details,Personal ,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,NOI AR,B.E.,No details,no details,no details,Health,0,V,F,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Business Analyst,Software Development,B.E.,No details,no details,no details,Better opportunity,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Engineer - Application and Engineering,Software Development,B.Sc,M.C.A.,no details,no details,Relocation,0,V,F,Rating not available,P1,R1 RCM -II,Software Development,12:00 PM - 9:00 PM,Software Development
Analyst,NOI AR,B.Sc,M.C.A.,no details,no details,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM -II,Software Development,3:00 PM - 12:00 AM,Software Development
Senior Analyst,NOI AR,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.A.,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.B.M ,No details,no details,no details,Better opportunity,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.Com,No details,no details,no details,Better opportunity,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Manager ,Human Resources,B.E.,No details,no details,Intermediate,Health,0,V,F,B,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CBO Non Voice,B.C.A. ,M.C.A.,no details,no details,Better opportunity,0,V,M,Rating not available,Manager,R1 RCM -II,Support,1:00 PM - 10:00 PM,Support
Senior Analyst,CBO Non Voice,B.C.A. ,M.C.A.,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,CBO Non Voice,B.A.,M.A.,no details,no details,Issues with Manager,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,CBO Non Voice,B.C.A. ,No details,no details,no details,Health,0,V,M,C,A1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,CBO Non Voice,B.Sc,PGDA,no details,no details,Change in role,0,V,M,Rating not available,A1,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Senior Analyst,CBO Non Voice,B.A.,No details,no details,no details,Better opportunity,0,V,M,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Engineer - Quality Assurance,Software Development,B.Sc,M.C.A.,no details,no details,Better opportunity,0,V,F,Rating not available,A2,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Analyst,NOI AR,B.H.M. ,No details,no details,no details,Abanonded,0,V,F,Rating not available,A3,R1 RCM -II,Software Development,12:00 PM - 9:00 PM,Software Development
Senior Analyst,NOI AR,B.A.,No details,no details,no details,Better opportunity,0,V,M,B,A2,R1 RCM -II,PFS 2,6:00 PM - 3:00 AM,PFS 2
Senior Analyst,NOI AR,No details,No details,no details,Intermediate,Better opportunity,0,V,F,Rating not available,A2,R1 RCM -II,PFS 2,6:00 PM - 3:00 AM,PFS 2
Analyst,NOI AR,B.A.,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM -II,PFS 2,6:00 PM - 3:00 AM,PFS 2
Senior Analyst,NOI AR,B.A.,No details,no details,no details,Abanonded,0,V,F,Rating not available,A1,R1 RCM -II,PFS 2,6:00 PM - 3:00 AM,PFS 2
Senior Analyst,NOI AR,B.A.,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM -II,PFS 2,6:00 PM - 3:00 AM,PFS 2
Senior Analyst,NOI AR,B.Com,No details,no details,no details,Performance & Discipline,0,F,F,Rating not available,A2,R1 RCM -II,PFS 2,6:00 PM - 3:00 AM,PFS 2
Analyst,NOI AR,B.B.A.,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A2,R1 RCM -II,PFS 2,9:00 AM - 6:00 PM,PFS 2
Analyst,NOI AR,B.A.,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM -II,PFS 2,9:00 AM - 6:00 PM,PFS 2
Senior Analyst,NOI AR,B.Com,No details,no details,no details,Higher Studies,0,V,M,Rating not available,A1,R1 RCM -II,PFS 2,6:00 PM - 3:00 AM,PFS 2
Senior Analyst,NOI AR,B.A.,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A2,R1 RCM -II,PFS 2,9:00 AM - 6:00 PM,PFS 2
Senior Coding Analyst,Medical Coding,B.E.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,PFS 2,6:00 PM - 3:00 AM,PFS 2
Senior Analyst,NOI AR,B.Com,No details,no details,no details,Joining Family Business,0,V,M,B,P1,R1 RCM -II,Medical Coding,9:00 AM - 6:00 PM,Medical Coding
Analyst,NOI AR,B.Com,No details,no details,no details,Better opportunity,0,V,M,B,A2,R1 RCM -II,PFS 2,6:00 PM - 3:00 AM,PFS 2
Analyst,NOI AR,B.Com,No details,no details,no details,Better opportunity,0,V,M,B,A1,R1 RCM -II,PFS 2,6:00 PM - 3:00 AM,PFS 2
Engineer - Quality Assurance,India Enterprise Solution,B.E.,No details,no details,no details,Better opportunity,0,V,M,C,A1,R1 RCM -II,PFS 2,6:00 PM - 3:00 AM,PFS 2
